initial,medial,nucleus,coda,tone,syllable
"","","oo","m","6","oom_6"
"","","oo","n","1","oon_1"
"","","oo","n","2","oon_2"
"","","oo","n","3","oon_3"
"","","oo","n","4","oon_4"
"","","oo","n","5","oon_5"
"","","oo","n","6","oon_6"
"","","oo","ng","1","oong_1"
"","","oo","ng","2","oong_2"
"","","oo","ng","3","oong_3"
"","","oo","ng","4","oong_4"
"","","oo","ng","5","oong_5"
"","","oo","ng","6","oong_6"
"","","oo","nh","1","oonh_1"
"","","oo","nh","2","oonh_2"
"","","oo","nh","3","oonh_3"
"","","oo","nh","4","oonh_4"
"","","oo","nh","5","oonh_5"
"","","oo","nh","6","oonh_6"
"","","oo","o","1","ooo_1"
"","","oo","o","2","ooo_2"
"","","oo","o","3","ooo_3"
"","","oo","o","4","ooo_4"
"","","oo","o","5","ooo_5"
"","","oo","o","6","ooo_6"
"","","oo","p","1","oop_1"
"","","oo","p","2","oop_2"
"","","oo","p","3","oop_3"
"","","oo","p","4","oop_4"
"","","oo","p","5","oop_5"
"","","oo","p","6","oop_6"
"","","oo","t","1","oot_1"
"","","oo","t","2","oot_2"
"","","oo","t","3","oot_3"
"","","oo","t","4","oot_4"
"","","oo","t","5","oot_5"
"","","oo","t","6","oot_6"
"","","oo","u","1","oou_1"
"","","oo","u","2","oou_2"
"","","oo","u","3","oou_3"
"","","oo","u","4","oou_4"
"","","oo","u","5","oou_5"
"","","oo","u","6","oou_6"
"","","oo","y","1","ooy_1"
"","","oo","y","2","ooy_2"
"","","oo","y","3","ooy_3"
"","","oo","y","4","ooy_4"
"","","oo","y","5","ooy_5"
"","","oo","y","6","ooy_6"
"","","ô","","1","ô_1"
"","","ô","","2","ô_2"
"","","ô","","3","ô_3"
"","","ô","","4","ô_4"
"","","ô","","5","ô_5"
"","","ô","","6","ô_6"
"","","ô","c","1","ôc_1"
"","","ô","c","2","ôc_2"
"","","ô","c","3","ôc_3"
"","","ô","c","4","ôc_4"
"","","ô","c","5","ôc_5"
"","","ô","c","6","ôc_6"
"","","ô","ch","1","ôch_1"
"","","ô","ch","2","ôch_2"
"","","ô","ch","3","ôch_3"
"","","ô","ch","4","ôch_4"
"","","ô","ch","5","ôch_5"
"","","ô","ch","6","ôch_6"
"","","ô","i","1","ôi_1"
"","","ô","i","2","ôi_2"
"","","ô","i","3","ôi_3"
"","","ô","i","4","ôi_4"
"","","ô","i","5","ôi_5"
"","","ô","i","6","ôi_6"
"","","ô","m","1","ôm_1"
"","","ô","m","2","ôm_2"
"","","ô","m","3","ôm_3"
"","","ô","m","4","ôm_4"
"","","ô","m","5","ôm_5"
"","","ô","m","6","ôm_6"
"","","ô","n","1","ôn_1"
"","","ô","n","2","ôn_2"
"","","ô","n","3","ôn_3"
"","","ô","n","4","ôn_4"
"","","ô","n","5","ôn_5"
"","","ô","n","6","ôn_6"
"","","ô","ng","1","ông_1"
"","","ô","ng","2","ông_2"
"","","ô","ng","3","ông_3"
"","","ô","ng","4","ông_4"
"","","ô","ng","5","ông_5"
"","","ô","ng","6","ông_6"
"","","ô","nh","1","ônh_1"
"","","ô","nh","2","ônh_2"
"","","ô","nh","3","ônh_3"
"","","ô","nh","4","ônh_4"
"","","ô","nh","5","ônh_5"
"","","ô","nh","6","ônh_6"
"","","ô","o","1","ôo_1"
"","","ô","o","2","ôo_2"
"","","ô","o","3","ôo_3"
"","","ô","o","4","ôo_4"
"","","ô","o","5","ôo_5"
"","","ô","o","6","ôo_6"
"","","ô","p","1","ôp_1"
"","","ô","p","2","ôp_2"
"","","ô","p","3","ôp_3"
"","","ô","p","4","ôp_4"
"","","ô","p","5","ôp_5"
"","","ô","p","6","ôp_6"
"","","ô","t","1","ôt_1"
"","","ô","t","2","ôt_2"
"","","ô","t","3","ôt_3"
"","","ô","t","4","ôt_4"
"","","ô","t","5","ôt_5"
"","","ô","t","6","ôt_6"
"","","ô","u","1","ôu_1"
"","","ô","u","2","ôu_2"
"","","ô","u","3","ôu_3"
"","","ô","u","4","ôu_4"
"","","ô","u","5","ôu_5"
"","","ô","u","6","ôu_6"
"","","ô","y","1","ôy_1"
"","","ô","y","2","ôy_2"
